,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
10,10,16,Thibaut Courtois,89,85,89,76,90,46,88,42,52,13,14,57,17,12,27,44,14,20,33,35,19,13,63,45,88,23,66,15,13,20,18,16,68,38,70,23,GK,3,1,Left,"200cm / 6'7""",96kg / 212lb,,32,Belgium,LALIGA EA SPORTS,Real Madrid,"1v1 Close Down+, Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thibaut-courtois/192119,85.0,89.0,76.0,88.0,90.0
11,11,18,Lautaro Martínez,89,82,88,75,87,54,85,84,80,92,93,87,80,92,74,79,68,65,79,73,80,85,89,92,92,89,88,48,86,55,51,44,93,83,85,87,ST,4,4,Right,"174cm / 5'9""",72kg / 159lb,,27,Argentina,Serie A Enilive,Lombardia FC,"Finesse Shot+, Power Shot, Relentless, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lautaro-martinez/231478,,,,,
12,12,20,Virgil van Dijk,89,78,60,71,71,89,86,66,87,47,52,81,64,45,62,67,53,70,80,86,60,70,54,50,88,77,90,88,87,90,91,86,89,72,93,85,CB,3,2,Right,"193cm / 6'4""",92kg / 203lb,,33,Holland,Premier League,Liverpool,"Aerial+, Anticipate, Block, Bruiser, Jockey, Long Ball Pass, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/virgil-van-dijk/203376,,,,,
13,13,21,Marc-André ter Stegen,89,86,85,89,91,47,86,45,50,11,14,67,10,14,25,70,18,12,61,63,18,21,39,43,85,30,70,22,11,25,13,10,72,35,78,43,GK,4,1,Right,"187cm / 6'2""",85kg / 187lb,,32,Germany,LALIGA EA SPORTS,FC Barcelona,"Footwork+, 1v1 Close Down",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-andre-ter-stegen/192448,86.0,85.0,89.0,86.0,91.0
14,14,22,Mohamed Salah,89,89,87,82,88,45,75,89,89,92,90,82,84,83,81,85,80,69,86,77,84,88,89,91,93,86,88,55,59,38,43,41,79,87,73,63,RW,3,4,Left,"175cm / 5'9""",72kg / 159lb,RM,32,Egypt,Premier League,Liverpool,"Finesse Shot+, Chip Shot, Rapid, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohamed-salah/209331,,,,,
15,15,23,Phil Foden,88,86,86,85,90,57,63,89,83,85,88,89,89,59,64,86,80,74,88,84,88,90,92,92,85,91,86,59,47,60,59,47,66,83,53,64,RW,3,4,Left,"171cm / 5'7""",69kg / 152lb,"LW, CAM, RM",24,England,Premier League,Manchester City,"Technical+, First Touch, Flair",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/phil-foden/237692,,,,,
16,16,25,Lionel Messi,88,79,85,87,92,33,64,86,73,89,85,83,87,86,75,90,80,92,87,86,93,93,90,95,85,93,94,40,60,20,35,24,71,70,68,44,RW,4,4,Left,"169cm / 5'7""",67kg / 148lb,"ST, CAM, RM",37,Argentina,MLS,Inter Miami CF,"Technical+, Dead Ball, Finesse Shot, Incisive Pass, Quick Step, Tiki Taka, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lionel-messi/158023,,,,,
17,17,28,Antoine Griezmann,88,80,88,87,89,59,75,81,80,90,90,85,87,86,79,88,82,85,89,86,89,88,89,84,90,91,89,59,85,45,63,64,85,86,69,74,ST,3,4,Left,"176cm / 5'9""",73kg / 161lb,,33,France,LALIGA EA SPORTS,Atlético de Madrid,"Finesse Shot+, Acrobatic, Chip Shot, Flair, Incisive Pass, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antoine-griezmann/194765,,,,,
18,18,29,Rúben Dias,88,67,39,70,69,89,87,65,68,39,29,74,26,32,45,64,54,48,85,81,46,64,62,56,89,75,86,87,87,90,90,87,88,78,90,88,CB,4,2,Right,"187cm / 6'2""",82kg / 181lb,,27,Portugal,Premier League,Manchester City,"Bruiser+, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-dias/239818,,,,,
19,19,30,Robert Lewandowski,88,75,88,79,86,44,84,76,75,90,90,89,82,86,90,81,76,84,84,70,79,85,77,83,89,90,87,49,88,35,42,19,92,76,89,81,ST,4,4,Right,"185cm / 6'1""",81kg / 179lb,,36,Poland,LALIGA EA SPORTS,FC Barcelona,"Chip Shot+, Finesse Shot, First Touch, Incisive Pass, Power Header, Power Shot, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-lewandowski/188545,,,,,
20,20,32,Federico Valverde,88,88,82,84,84,80,84,84,91,86,78,91,87,74,59,86,78,69,87,88,74,83,77,68,89,88,84,83,63,79,85,80,83,92,82,81,CM,4,3,Right,"182cm / 6'0""",78kg / 172lb,RM,26,Uruguay,LALIGA EA SPORTS,Real Madrid,"Power Shot+, Long Ball Pass, Rapid, Relentless, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-valverde/239053,,,,,
21,21,33,Ederson,88,87,82,91,87,64,86,64,63,20,14,68,18,18,65,70,20,20,65,68,39,30,60,48,88,45,70,27,14,29,15,8,79,44,78,38,GK,3,1,Left,"188cm / 6'2""",86kg / 190lb,,31,Brazil,Premier League,Manchester City,"Long Ball Pass+, Cross Claimer, Pinged Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/210257,87.0,82.0,91.0,86.0,87.0
22,22,34,Bernardo Silva,88,75,78,86,92,71,69,83,69,85,78,79,79,78,64,87,84,67,91,82,84,93,95,92,89,92,89,73,54,70,76,68,68,93,54,78,CM,3,4,Left,"173cm / 5'8""",64kg / 141lb,RW,30,Portugal,Premier League,Manchester City,"Technical+, Flair, Relentless, Tiki Taka, Trivela, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bernardo-silva/218667,,,,,
23,23,38,Jan Oblak,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,67,13,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,GK,3,1,Right,"188cm / 6'2""",87kg / 192lb,,31,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,"Far Reach+, Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-oblak/200389,85.0,90.0,78.0,86.0,87.0
24,24,40,Antonio Rüdiger,88,82,55,73,70,86,86,71,91,54,40,84,67,34,40,61,68,56,84,81,50,69,56,50,86,74,80,85,83,86,88,87,89,70,91,92,CB,3,2,Right,"190cm / 6'3""",86kg / 190lb,,31,Germany,LALIGA EA SPORTS,Real Madrid,"Bruiser+, Acrobatic, Aerial, Block, Jockey",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antonio-rudiger/205452,,,,,
25,25,42,Florian Wirtz,88,81,78,87,89,50,67,81,81,83,79,78,79,80,64,91,84,69,91,87,82,90,87,87,88,90,85,44,42,58,49,44,64,87,59,63,CAM,4,4,Right,"177cm / 5'10""",71kg / 157lb,LM,21,Germany,Bundesliga,Leverkusen,"Incisive Pass+, Chip Shot, Finesse Shot, First Touch, Flair, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florian-wirtz/256630,,,,,
26,26,43,Gregor Kobel,88,87,86,73,89,44,87,38,52,10,10,55,10,10,12,59,13,12,39,33,13,24,37,29,86,34,66,14,13,15,15,15,71,30,81,24,GK,3,1,Right,"195cm / 6'5""",88kg / 194lb,,26,Switzerland,Bundesliga,Borussia Dortmund,"1v1 Close Down+, Deflector, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gregor-kobel/235073,87.0,86.0,73.0,87.0,89.0
27,27,44,William Saliba,87,82,39,70,74,87,83,77,86,43,35,60,23,34,47,62,58,35,84,78,55,74,53,46,86,82,85,86,79,88,89,86,89,72,87,83,CB,3,2,Right,"193cm / 6'4""",85kg / 187lb,,23,France,Premier League,Arsenal,"Anticipate+, Jockey",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/william-saliba/243715,,,,,
28,28,45,Victor Osimhen,87,89,84,65,81,42,82,85,92,92,88,86,74,83,75,70,62,52,72,54,63,80,78,67,89,84,80,34,86,36,45,22,94,81,86,68,ST,4,3,Right,"186cm / 6'1""",77kg / 170lb,,25,Nigeria,Serie A Enilive,SSC Napoli,"Acrobatic, Chip Shot, Power Header, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/victor-osimhen/232293,,,,,
29,29,46,Jamal Musiala,87,84,81,78,90,63,64,86,83,86,84,80,79,73,59,84,67,59,84,79,75,94,93,93,87,84,83,65,49,64,63,66,69,78,59,59,CAM,4,5,Right,"184cm / 6'0""",72kg / 159lb,"LM, CM",21,Germany,Bundesliga,FC Bayern München,"Technical+, Flair, Incisive Pass, Trickster",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jamal-musiala/256790,,,,,
30,30,47,Bukayo Saka,87,85,83,81,88,60,70,88,83,82,84,79,83,79,87,86,85,69,83,70,84,89,85,88,85,88,82,62,49,60,62,60,71,86,63,68,RW,4,3,Left,"178cm / 5'10""",65kg / 143lb,RM,23,England,Premier League,Arsenal,"Finesse Shot, Flair, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bukayo-saka/246669,,,,,
31,31,49,Paulo Dybala,87,80,85,84,89,41,65,84,76,83,84,84,86,92,88,88,83,87,84,79,89,89,88,90,84,91,87,42,65,32,42,39,77,74,67,48,CAM,3,5,Left,"177cm / 5'10""",75kg / 165lb,ST,30,Argentina,Serie A Enilive,AS Roma,"First Touch+, Dead Ball, Finesse Shot, Flair, Incisive Pass, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paulo-dybala/211110,,,,,
32,32,50,Theo Hernández,87,95,76,78,84,81,89,95,95,80,71,86,76,80,75,75,84,75,81,70,80,84,83,81,85,85,80,80,77,78,86,80,95,92,88,86,LB,3,4,Left,"184cm / 6'0""",81kg / 179lb,LM,26,France,Serie A Enilive,Milano FC,"Bruiser+, Anticipate, Long Throw, Quick Step, Rapid, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/theo-hernandez/232656,,,,,
33,33,52,Neymar Jr,87,85,79,84,92,37,60,86,84,81,80,77,75,84,85,85,81,87,85,80,86,94,90,83,78,93,92,37,63,35,32,29,72,73,52,63,LW,5,5,Right,"175cm / 5'9""",68kg / 150lb,"CAM, LM",32,Brazil,ROSHN Saudi League,Al Hilal,"Trickster+, First Touch, Flair, Incisive Pass, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/neymar-jr/190871,,,,,
34,34,53,Declan Rice,87,73,72,82,79,84,85,71,75,71,64,84,82,50,71,79,79,65,85,86,81,82,55,65,85,84,86,86,72,85,86,85,82,92,81,85,CDM,3,3,Right,"185cm / 6'1""",80kg / 176lb,CM,25,England,Premier League,Arsenal,"Block, Intercept, Long Ball Pass, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/declan-rice/234378,,,,,
35,35,55,Frenkie de Jong,87,82,69,86,87,77,78,80,83,77,72,68,66,70,53,88,78,64,91,89,84,87,87,79,88,89,90,82,72,76,76,77,82,89,74,74,CM,3,4,Right,"181cm / 5'11""",74kg / 163lb,CDM,27,Holland,LALIGA EA SPORTS,FC Barcelona,"Trivela+, Flair, Incisive Pass, Long Ball Pass, Press Proven, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frenkie-de-jong/228702,,,,,
36,36,56,Mike Maignan,87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,65,18,16,64,61,38,30,60,56,85,40,68,25,17,23,16,19,82,39,83,35,GK,4,1,Right,"191cm / 6'3""",89kg / 196lb,,29,France,Serie A Enilive,Milano FC,"Deflector+, Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-maignan/215698,84.0,83.0,85.0,84.0,88.0
37,37,57,Bruno Fernandes,87,70,85,88,83,65,75,72,68,87,84,86,85,87,90,94,82,82,89,90,85,83,78,76,90,86,79,63,63,62,71,66,70,95,61,84,CAM,3,4,Right,"179cm / 5'10""",69kg / 152lb,CM,30,Portugal,Premier League,Man Utd,"Long Ball Pass+, Dead Ball, First Touch, Flair, Incisive Pass, Pinged Pass, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-fernandes/212198,,,,,
38,38,60,Heung Min Son,87,87,89,81,85,42,73,86,88,91,90,89,89,83,75,82,84,74,83,72,87,87,81,74,90,85,88,39,72,45,34,33,82,88,69,62,ST,5,4,Right,"183cm / 6'0""",78kg / 172lb,LM,32,Korea Republic,Premier League,Spurs,"Finesse Shot+, Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/heung-min-son/200104,,,,,
39,39,61,Marquinhos,87,79,56,75,74,89,81,76,81,70,59,65,45,35,52,76,68,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,83,79,81,CB,3,3,Right,"183cm / 6'0""",75kg / 165lb,,30,Brazil,Ligue 1 McDonald's,Paris SG,"Intercept+, Aerial, Anticipate, Jockey, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,
40,40,62,Alessandro Bastoni,87,75,43,75,76,87,83,72,78,39,34,59,48,44,50,72,72,41,80,84,64,74,64,61,87,83,85,88,86,87,87,85,89,81,83,83,CB,3,2,Left,"190cm / 6'3""",75kg / 165lb,,25,Italy,Serie A Enilive,Lombardia FC,"Intercept+, Anticipate, Jockey, Long Ball Pass, Pinged Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessandro-bastoni/237383,,,,,
41,41,63,İlkay Gündoğan,87,62,83,85,87,74,73,65,60,86,85,81,84,75,80,86,77,80,89,85,86,88,77,77,86,91,87,78,50,77,78,67,67,75,73,70,CM,4,4,Right,"180cm / 5'11""",80kg / 176lb,CDM,33,Germany,Premier League,Manchester City,"First Touch+, Incisive Pass, Press Proven, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ilkay-gundogan/186942,,,,,
42,42,65,Emiliano Martínez,87,84,82,83,86,56,87,55,57,12,16,62,16,13,43,67,22,20,61,59,22,23,54,49,84,43,69,21,26,25,20,20,79,40,78,37,GK,4,1,Right,"195cm / 6'5""",88kg / 194lb,,32,Argentina,Premier League,Aston Villa,"1v1 Close Down+, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emiliano-martinez/202811,84.0,82.0,83.0,87.0,86.0
43,43,66,Nicolò Barella,87,81,78,83,86,80,82,85,78,83,76,80,79,80,73,84,79,67,88,85,79,82,91,92,90,88,86,84,60,80,83,81,79,93,74,87,CM,4,3,Right,"172cm / 5'8""",68kg / 150lb,CDM,27,Italy,Serie A Enilive,Lombardia FC,"Relentless+, Anticipate, Intercept, Pinged Pass, Press Proven, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-barella/224232,,,,,
44,44,67,Yann Sommer,87,83,84,85,89,50,86,48,54,15,13,64,12,8,24,64,13,13,40,36,12,15,55,58,84,25,54,21,10,9,19,12,68,45,68,38,GK,4,1,Right,"183cm / 6'0""",77kg / 170lb,,35,Switzerland,Serie A Enilive,Lombardia FC,Far Reach+,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-sommer/177683,83.0,84.0,85.0,86.0,89.0
45,45,68,Cristiano Ronaldo,86,77,88,77,80,34,77,73,80,90,87,92,85,83,90,78,78,76,79,70,79,77,76,61,87,86,92,29,87,24,32,24,94,80,79,62,ST,4,5,Right,"187cm / 6'2""",85kg / 187lb,,39,Portugal,ROSHN Saudi League,Al Nassr,"Power Shot+, Acrobatic, Aerial, Flair, Power Header, Trickster, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristiano-ronaldo/20801,,,,,
46,46,69,Gabriel,86,69,41,63,61,86,82,61,76,44,37,62,30,28,40,59,38,27,80,76,47,54,51,37,85,71,74,86,87,87,86,86,86,71,86,87,CB,2,2,Left,"190cm / 6'3""",87kg / 192lb,,26,Brazil,Premier League,Arsenal,"Bruiser+, Aerial, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel/232580,,,,,
47,47,70,Granit Xhaka,86,50,75,85,74,79,82,48,52,76,67,90,84,55,65,84,77,78,89,90,80,73,51,61,86,83,81,79,68,82,79,78,70,83,78,93,CDM,3,3,Left,"186cm / 6'1""",80kg / 176lb,CM,31,Switzerland,Bundesliga,Leverkusen,"Long Ball Pass+, Bruiser, Finesse Shot, Incisive Pass, Power Shot, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/granit-xhaka/199503,,,,,
48,48,72,Rodrygo,86,89,81,79,88,31,64,90,88,84,86,76,77,67,82,83,79,73,80,73,80,89,87,84,84,87,85,21,67,24,34,30,77,81,59,54,RW,4,4,Right,"174cm / 5'9""",64kg / 141lb,"ST, RM",23,Brazil,LALIGA EA SPORTS,Real Madrid,"Dead Ball, Finesse Shot, Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrygo/243812,,,,,
49,49,73,João Cancelo,86,81,73,85,85,80,72,86,77,81,69,80,79,62,52,85,87,69,87,79,87,85,79,78,84,87,85,81,72,79,83,79,80,88,62,76,LB,4,4,Right,"182cm / 6'0""",74kg / 163lb,"RB, RM",30,Portugal,ROSHN Saudi League,Al Hilal,"Block, First Touch, Flair, Technical, Trivela, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joao-cancelo/210514,,,,,
50,50,74,Rafael Leão,86,94,79,80,87,28,77,94,94,76,83,80,75,74,63,84,84,60,83,70,79,88,85,84,84,87,83,24,72,22,24,21,90,75,83,60,LW,4,5,Right,"188cm / 6'2""",81kg / 179lb,"LM, ST",25,Portugal,Serie A Enilive,Milano FC,"Rapid+, Finesse Shot, Flair, Incisive Pass, Quick Step, Trickster, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafael-leao/241721,,,,,
51,51,76,Grimaldo,86,74,73,88,85,76,71,77,71,79,67,84,83,63,54,85,93,89,87,85,89,85,84,86,86,86,83,79,62,76,78,74,73,90,63,69,LM,2,4,Left,"171cm / 5'7""",68kg / 150lb,"LB, LW",28,Spain,Bundesliga,Leverkusen,"Whipped Pass+, Dead Ball, Finesse Shot",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/grimaldo/210035,,,,,
52,52,77,Luka Modrić,86,72,76,88,87,71,64,75,69,76,72,79,82,76,83,90,86,78,90,90,85,84,92,92,85,90,91,79,55,70,73,72,67,76,58,62,CM,4,4,Right,"172cm / 5'8""",66kg / 146lb,"CAM, CDM",39,Croatia,LALIGA EA SPORTS,Real Madrid,"Trivela+, Incisive Pass, Long Ball Pass, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luka-modric/177003,,,,,
53,53,79,Alexis Mac Allister,86,69,82,85,84,76,76,71,67,80,79,88,82,77,86,86,79,82,87,86,83,84,82,83,85,86,84,78,61,77,79,73,72,87,69,83,CM,3,3,Right,"176cm / 5'9""",72kg / 159lb,CDM,25,Argentina,Premier League,Liverpool,"Pinged Pass+, Dead Ball, Incisive Pass, Power Shot, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexis-mac-allister/239837,,,,,
54,54,81,Carvajal,86,81,58,79,81,81,79,82,81,75,56,68,52,53,45,78,85,47,84,74,77,78,78,84,85,85,83,81,76,80,84,83,85,84,74,85,RB,3,3,Right,"173cm / 5'8""",73kg / 161lb,,32,Spain,LALIGA EA SPORTS,Real Madrid,"Block, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carvajal/204963,,,,,
55,55,83,Ousmane Dembélé,86,92,75,82,88,41,57,94,91,80,72,83,74,76,75,85,86,64,83,78,84,89,94,81,82,87,82,38,43,42,42,34,65,69,52,54,RW,5,5,Left,"178cm / 5'10""",67kg / 148lb,"CAM, RM",27,France,Ligue 1 McDonald's,Paris SG,"Rapid+, Flair, Pinged Pass, Quick Step, Trickster",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ousmane-dembele/231443,,,,,
56,56,86,Trent Alexander-Arnold,86,75,72,90,80,80,74,72,78,79,64,85,76,68,66,89,93,85,89,92,88,79,73,72,85,85,82,84,69,78,82,78,75,89,68,69,RB,4,3,Right,"180cm / 5'11""",72kg / 159lb,,25,England,Premier League,Liverpool,"Whipped Pass+, Dead Ball, Incisive Pass, Long Ball Pass, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/trent-alexander-arnold/231281,,,,,
57,57,87,Pedri,86,77,69,82,88,70,74,79,76,79,72,68,68,56,53,88,68,62,88,86,79,87,88,90,87,88,87,73,50,68,77,65,73,87,73,62,CM,4,4,Right,"174cm / 5'9""",60kg / 132lb,LW,21,Spain,LALIGA EA SPORTS,FC Barcelona,"Incisive Pass+, First Touch, Long Ball Pass, Relentless, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pedri/251854,,,,,
58,58,89,Jonathan Tah,86,71,38,60,62,86,84,53,86,36,32,60,26,53,38,56,39,27,78,68,37,60,49,40,84,67,79,83,87,87,87,81,86,69,92,83,CB,3,2,Right,"195cm / 6'5""",94kg / 207lb,,28,Germany,Bundesliga,Leverkusen,Aerial,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonathan-tah/213331,,,,,
59,59,90,Karim Benzema,86,77,85,81,84,38,77,76,77,88,87,87,81,87,68,86,75,73,86,76,82,84,77,72,84,87,84,39,87,43,24,18,84,80,81,63,ST,4,4,Right,"185cm / 6'1""",81kg / 179lb,,36,France,ROSHN Saudi League,Al Ittihad,"Finesse Shot, First Touch, Incisive Pass, Relentless, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/karim-benzema/165153,,,,,
